esp_abeast_id,serial_port,chip,threshold,dac,hits_per_s,count0,count1,dt_s,mu_est,sigma_est,r2_est
2,COM6,1,0,91,0.7995056919669131,0,8,10.006182670593262,184,39,-19.444491473854747
2,COM6,1,0,90,0.49967993733414606,0,5,10.006405353546143,184,39,-19.228006835138203
2,COM6,1,0,89,0.3997471120388308,0,4,10.00632619857788,184,39,-19.0095901535703
2,COM6,1,0,88,0.3997434641164869,0,4,10.006417512893677,184,39,-18.799564789260476
2,COM6,1,0,87,0.09993981171503254,0,1,10.006022453308105,184,39,-18.566524491950695
2,COM6,1,0,86,0.09993565887136073,0,1,10.006438255310059,184,39,-18.342031240588735
2,COM6,1,0,85,0.3997781554086891,0,4,10.005549192428589,184,39,-18.155962583371046
2,COM6,1,0,84,0.29983385232935333,0,3,10.005541324615479,184,39,-17.9667426963393
2,COM6,1,0,83,0.09993717090464628,0,1,10.006286859512329,184,39,-17.76434690962345
2,COM6,1,0,82,0.09994138817152397,0,1,10.00586462020874,184,39,-17.56893220746684
2,COM6,1,0,81,0.0,0,0,10.005961656570435,184,39,-17.56893220746684
2,COM6,1,0,80,0.0999392211519922,0,1,10.006081581115723,184,39,-17.380202387161173
2,COM6,1,0,79,0.19989447442405944,0,2,10.005279064178467,184,39,-17.207662857110073
2,COM6,1,0,78,0.09994626788152551,0,1,10.005376100540161,184,39,-17.031114577532282
2,COM6,1,0,77,0.0,0,0,10.006197690963745,184,39,-17.031114577532282
2,COM6,1,0,76,0.0,0,0,10.005975246429443,184,39,-17.031114577532282
2,COM6,1,0,75,0.0,0,0,10.005537986755371,184,39,-17.031114577532282
2,COM6,1,0,74,0.0,0,0,10.00579023361206,184,39,-17.031114577532282
2,COM6,1,1,222,10.893779515757503,0,109,10.005710124969482,,,
2,COM6,1,1,221,9.794172026028022,0,98,10.005950450897217,,,
2,COM6,1,1,220,10.493578465498116,0,105,10.0061194896698,,,
2,COM6,1,1,219,10.99387045715712,0,110,10.00557541847229,,,
2,COM6,1,1,218,10.693217921658707,0,107,10.00634241104126,220,1,-105.97530901258769
2,COM6,1,1,217,8.995154463769092,0,90,10.00538682937622,220,2,-31.729514892676434
2,COM6,1,1,216,10.593712933007993,0,106,10.005934715270996,219,2,-38.22159886372483
2,COM6,1,1,215,10.293479550881687,0,103,10.00633454322815,219,2,-44.586685036434055
2,COM6,1,1,214,8.394986590763915,0,84,10.005971908569336,218,3,-20.828176607867643
2,COM6,1,1,213,8.794344685915267,0,88,10.006430625915527,218,3,-17.27997114383284
2,COM6,1,1,212,8.495019613926257,0,85,10.005862712860107,217,3,-14.188017493091886
2,COM6,1,1,211,10.094757316145477,0,101,10.00519347190857,217,3,-16.58051676778868
2,COM6,1,1,210,8.694482906757274,0,87,10.006345510482788,216,4,-15.5060666705584
2,COM6,1,1,209,10.393334029228203,0,104,10.006413698196411,216,4,-17.49709602057197
2,COM6,1,1,208,9.095237164757568,0,91,10.005236625671387,215,4,-17.822238015621192
2,COM6,1,1,207,9.295081985964,0,93,10.005290985107422,215,5,-18.66201787307938
2,COM6,1,1,206,11.79266821362956,0,118,10.006217241287231,214,5,-15.586715964979891
2,COM6,1,1,205,11.893299799419392,0,119,10.00563359260559,214,5,-14.381713096359146
2,COM6,1,1,204,10.094000834159996,0,101,10.005943298339844,213,6,-15.11462382603911
2,COM6,1,1,203,10.593100587800562,0,106,10.006513118743896,212,6,-15.746848892566344
2,COM6,1,1,202,8.994838743590307,0,90,10.005738019943237,212,6,-15.045447399444427
2,COM6,1,1,201,9.294821293859096,0,93,10.005571603775024,212,6,-14.902930730104124
2,COM6,1,1,200,9.494019925298536,0,95,10.006298780441284,211,7,-15.023897625314607
2,COM6,1,1,199,7.495512489935523,0,75,10.00598692893982,211,7,-11.47868812466692
2,COM6,1,1,198,10.393384547537194,0,104,10.006365060806274,210,7,-11.93103369546271
2,COM6,1,1,197,9.690234919563647,0,97,10.010077238082886,210,8,-12.272013253927675
2,COM6,1,1,196,9.89465977160335,0,99,10.005397081375122,209,8,-12.718338006278218
2,COM6,1,1,195,7.6957988094010625,0,77,10.005459070205688,209,8,-10.704903403912938
2,COM6,1,1,194,9.594891788157712,0,96,10.005323886871338,208,8,-11.042338256396235
2,COM6,1,1,193,10.094402753714487,0,101,10.005544900894165,208,9,-11.530632648214908
2,COM6,1,1,192,9.294369491710308,0,93,10.006057977676392,207,9,-11.736805801804909
2,COM6,1,1,191,8.894752815510888,0,89,10.00589919090271,207,9,-11.655576970310864
2,COM6,1,1,190,8.195391647529435,0,82,10.00562310218811,206,9,-10.889306147729544
2,COM6,1,1,189,9.494447260110604,0,95,10.005848407745361,206,10,-11.248234440910027
2,COM6,1,1,188,11.392207740596056,0,114,10.006839990615845,205,10,-11.28430542028069
2,COM6,1,1,187,9.994391251056973,0,100,10.005611896514893,205,10,-11.740816781308503
2,COM6,1,1,186,9.294970575399192,0,93,10.00541090965271,204,11,-11.968908150371483
2,COM6,1,1,185,10.49376299339146,0,105,10.005943536758423,204,11,-12.388507367038946
2,COM6,1,1,184,10.093497457628189,0,101,10.006442308425903,203,11,-12.828601899639171
2,COM6,1,1,183,12.991714587843175,0,130,10.006377458572388,203,12,-10.919700977609264
2,COM6,1,1,182,9.294411790930184,0,93,10.006012439727783,202,12,-11.027767275287662
