chip,threshold,dac,hits_per_s,count0,count1,dt_s,mu_est,sigma_est,r2_est
2,0,247,37230.826680734244,11307226,11679898,10.009769678115845,252,2,-0.10778007599008554
2,0,246,25490.17857535938,11679926,11935084,10.010051488876343,252,3,0.20158701904460719
2,0,245,14508.779473210645,11935112,12080345,10.010008096694946,252,3,0.3811847355715078
2,0,244,9331.116501224527,12080368,12173772,10.009948968887329,252,3,0.48529316963433367
2,0,243,5456.398465273466,12173799,12228418,10.010082721710205,252,3,0.5538897906971179
2,0,242,3271.7490014707046,12228442,12261193,10.010242223739624,252,3,0.6016524782000925
2,0,241,11.48810078976844,12261213,12261328,10.010357856750488,252,3,0.642169553317478
2,0,240,6.193711933099383,12275013,12275075,10.010152339935303,252,3,0.6714210822683904
2,0,239,2.9970038564513954,12282962,12282992,10.009997129440308,252,3,0.6935313981782413
2,0,238,1.8979006504850566,12285595,12285614,10.011061429977417,252,3,0.7108292073053026
2,0,237,1.798177858463754,12287015,12287033,10.010133266448975,252,3,0.7247304705957283
2,0,236,1.6980788484669613,12287557,12287574,10.011313676834106,252,3,0.7361462214210659
2,0,235,0.8990083332170339,12287846,12287855,10.011030673980713,252,3,0.7456892424925659
2,0,234,1.1988121929856277,12287956,12287968,10.009908199310303,252,3,0.7537844791364938
2,0,233,0.8991030842745511,12288050,12288059,10.009975671768188,252,3,0.7607386873175275
2,0,232,0.49950628204501296,12288089,12288094,10.009884119033813,252,3,0.7667773101445485
2,0,231,0.7991926719305588,12288109,12288117,10.010101795196533,252,3,0.7720696874301616
2,0,230,0.699334979637555,12288125,12288132,10.009509325027466,252,3,0.7767462932195823
2,0,229,0.4995293402672286,12288137,12288142,10.009422063827515,252,3,0.7809086984538738
2,0,228,0.5994068817183504,12288147,12288153,10.009895086288452,252,3,0.7846373162266503
2,0,227,0.7992083380503422,12288158,12288166,10.009905576705933,252,3,0.7879967315721824
2,0,226,0.49949314766269515,12288173,12288178,10.010147333145142,252,3,0.7910390093902495
2,0,225,0.39959040664784884,12288183,12288187,10.010250329971313,252,3,0.7938070792105574
2,0,224,0.3995893121702901,12288189,12288193,10.01027774810791,252,3,0.7963364976912317
2,0,223,0.49946519181181287,12288194,12288199,10.01070761680603,252,3,0.7986570283071724
2,0,222,0.19979636443178428,12288201,12288203,10.010192155838013,252,3,0.8007929507488795
2,0,221,0.49949640739966134,12288207,12288212,10.010082006454468,252,3,0.8027664126255247
2,0,220,0.39957313363618924,12288219,12288223,10.010683059692383,252,3,0.8045946686148948
2,0,219,0.3995858098823918,12288226,12288230,10.01036548614502,252,3,0.8062933705129467
2,0,218,0.3995699647003046,12288234,12288238,10.010762453079224,252,3,0.8078758510254074
2,0,217,0.29968514619702535,12288240,12288243,10.01050615310669,252,3,0.8093533540822778
2,0,216,0.19980517311167903,12288245,12288247,10.009750843048096,252,3,0.810735899058675
2,0,215,0.09990021896664691,12288248,12288249,10.009988069534302,252,3,0.8120322493388568
2,0,214,0.09989120649804979,12288249,12288250,10.010891199111938,252,3,0.8132505271974391
2,0,213,0.49947585035435327,12288253,12288258,10.010493993759155,252,3,0.8143994374602821
2,0,212,0.39961166925365665,12288260,12288264,10.0097177028656,252,3,0.8154828458848533
2,0,211,0.39959663100814213,12288265,12288269,10.010094404220581,252,3,0.8165066252401403
2,0,210,0.49945941069442523,12288271,12288276,10.010823488235474,252,3,0.8174761781694868
2,0,209,0.09990069485496073,12288279,12288280,10.009940385818481,252,3,0.8183928202247661
2,0,208,0.0,12288282,12288282,10.009399652481079,252,3,0.8183928202247661
2,0,207,0.19978954073719046,12288285,12288287,10.010534048080444,252,3,0.8192634980883686
2,0,206,0.09989831783806936,12288289,12288290,10.010178565979004,252,3,0.8200902453126334
2,0,205,0.19979962893028988,12288290,12288292,10.010028600692749,252,3,0.8208777162900621
2,0,204,0.0,12288293,12288293,10.00945234298706,252,3,0.8208777162900621
2,0,203,0.0,12288294,12288294,10.010023832321167,252,3,0.8208777162900621
2,1,255,65821.09554634317,4921815,5580700,10.01024055480957,,,
2,1,254,65091.13162827154,5583739,6235291,10.009842872619629,,,
2,1,253,65143.82601360573,6238409,6890503,10.010066032409668,,,
