source,analysis_mode,chip,threshold,dac,hits_per_s,mu_user_dac,target_hits_requested,target_dac_for_hits,target_hits_found,n_sigma_from_mu,sigma_ref
noise_scan_raw,gaussian,2,1,254,65091.13162827154,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,253,65143.82601360573,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,252,66855.88023199726,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,251,71877.035033249,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,250,78850.0452553332,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,249,95275.6702049437,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,248,128614.51616687179,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,247,167759.45310738822,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,246,152125.93166468543,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,245,129742.38006090028,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,244,116520.63720637673,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,243,100942.2014753628,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,242,88140.26337960358,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,241,70486.6538954981,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,240,54489.81184213933,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,239,41277.33254810001,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,238,29385.915377019734,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,237,18045.726938148964,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,236,11326.818778490026,247,2.0,224,1.298673151956063,4.6,5.0
noise_scan_raw,gaussian,2,1,235,5455.046114677547,247,2.0,224,1.298673151956063,4.6,5.0
