adc;energy_eV;energy_MeV;fit_a_eV_per_ADC;fit_b_eV
5595.624557;1783020.473125;1.783020473;301.805063948065;94232.645876
5608.196633;1786814.789443;1.786814789;301.805063948065;94232.645876
5620.768710;1790609.105762;1.790609106;301.805063948065;94232.645876
5633.340786;1794403.422080;1.794403422;301.805063948065;94232.645876
5645.912863;1798197.738398;1.798197738;301.805063948065;94232.645876
5658.484939;1801992.054717;1.801992055;301.805063948065;94232.645876
5671.057015;1805786.371035;1.805786371;301.805063948065;94232.645876
5683.629092;1809580.687354;1.809580687;301.805063948065;94232.645876
5696.201168;1813375.003672;1.813375004;301.805063948065;94232.645876
5708.773244;1817169.319990;1.817169320;301.805063948065;94232.645876
5721.345321;1820963.636309;1.820963636;301.805063948065;94232.645876
5733.917397;1824757.952627;1.824757953;301.805063948065;94232.645876
5746.489474;1828552.268946;1.828552269;301.805063948065;94232.645876
5759.061550;1832346.585264;1.832346585;301.805063948065;94232.645876
5771.633626;1836140.901582;1.836140902;301.805063948065;94232.645876
5784.205703;1839935.217901;1.839935218;301.805063948065;94232.645876
5796.777779;1843729.534219;1.843729534;301.805063948065;94232.645876
5809.349856;1847523.850538;1.847523851;301.805063948065;94232.645876
5821.921932;1851318.166856;1.851318167;301.805063948065;94232.645876
5834.494008;1855112.483174;1.855112483;301.805063948065;94232.645876
5847.066085;1858906.799493;1.858906799;301.805063948065;94232.645876
5859.638161;1862701.115811;1.862701116;301.805063948065;94232.645876
5872.210238;1866495.432130;1.866495432;301.805063948065;94232.645876
5884.782314;1870289.748448;1.870289748;301.805063948065;94232.645876
5897.354390;1874084.064766;1.874084065;301.805063948065;94232.645876
5909.926467;1877878.381085;1.877878381;301.805063948065;94232.645876
5922.498543;1881672.697403;1.881672697;301.805063948065;94232.645876
5935.070619;1885467.013721;1.885467014;301.805063948065;94232.645876
5947.642696;1889261.330040;1.889261330;301.805063948065;94232.645876
5960.214772;1893055.646358;1.893055646;301.805063948065;94232.645876
5972.786849;1896849.962677;1.896849963;301.805063948065;94232.645876
5985.358925;1900644.278995;1.900644279;301.805063948065;94232.645876
5997.931001;1904438.595313;1.904438595;301.805063948065;94232.645876
6010.503078;1908232.911632;1.908232912;301.805063948065;94232.645876
6023.075154;1912027.227950;1.912027228;301.805063948065;94232.645876
6035.647231;1915821.544269;1.915821544;301.805063948065;94232.645876
6048.219307;1919615.860587;1.919615861;301.805063948065;94232.645876
6060.791383;1923410.176905;1.923410177;301.805063948065;94232.645876
